apple,play,apple_rating,play_rating,apple_price,play_price
FINAL FANTASY V,FINAL FANTASY V,4.5,4.5,14.99,$7.99 
Adobe Illustrator Draw,Adobe Illustrator Draw,4.5,4.4,0,0
Angry Birds Rio,Angry Birds Rio,4.5,4.4,0,0
Bad Piggies HD,Bad Piggies HD,4.5,4.4,0,0
Bejeweled Classic,Bejeweled Classic,4.5,4.4,0,0
Call of Duty®: Heroes,Call of Duty®: Heroes,4.5,4.4,0,0
Candy Crush Saga,Candy Crush Saga,4.5,4.4,0,0
Candy Crush Soda Saga,Candy Crush Soda Saga,4.5,4.4,0,0
ClassDojo,ClassDojo,4.5,4.4,0,0
Design Home,Design Home,4.5,4.4,0,0
Farm Heroes Saga,Farm Heroes Saga,4.5,4.4,0,0
Gear.Club - True Racing,Gear.Club - True Racing,4.5,4.4,0,0
Hill Climb Racing,Hill Climb Racing,4.5,4.4,0,0
Injustice: Gods Among Us,Injustice: Gods Among Us,4.5,4.4,0,0
Inside Out Thought Bubbles,Inside Out Thought Bubbles,4.5,4.4,0,0
Jetpack Joyride,Jetpack Joyride,4.5,4.4,0,0
Microsoft OneNote,Microsoft OneNote,4.5,4.4,0,0
MORTAL KOMBAT X,MORTAL KOMBAT X,4.5,4.4,0,0
Need for Speed™ No Limits,Need for Speed™ No Limits,4.5,4.4,0,0
PES CLUB MANAGER,PES CLUB MANAGER,4.5,4.4,0,0
Photo Editor by Aviary,Photo Editor by Aviary,4.5,4.4,0,0
Plants vs. Zombies™ 2,Plants vs. Zombies™ 2,4.5,4.4,0,0
Plants vs. Zombies™ Heroes,Plants vs. Zombies™ Heroes,4.5,4.4,0,0
Solitaire,Solitaire,4.5,4.4,0,0
Swamp Attack,Swamp Attack,4.5,4.4,0,0
Talking Tom Bubble Shooter,Talking Tom Bubble Shooter,4.5,4.4,0,0
The CW,The CW,4.5,4.4,0,0
WhatsApp Messenger,WhatsApp Messenger,4.5,4.4,0,0
Yahoo Weather,Yahoo Weather,4.5,4.4,0,0
Zombie Tsunami,Zombie Tsunami,4.5,4.4,0,0
Red Ball 4,Red Ball 4,4.5,4.4,0.99,0
AJ Jump: Animal Jam Kangaroos!,AJ Jump: Animal Jam Kangaroos!,4.5,4.4,1.99,$1.99 
Pocket Yoga,Pocket Yoga,4.5,4.4,2.99,$2.99 
The Game of Life,The Game of Life,4.5,4.4,2.99,$2.99 
Dr. Panda & Toto's Treehouse,Dr. Panda & Toto's Treehouse,4.5,4.4,3.99,$3.99 
F-Sim Space Shuttle,F-Sim Space Shuttle,4.5,4.4,4.99,$4.99 
Angry Birds Star Wars,Angry Birds Star Wars,4.5,4.3,0,0
Bad Piggies,Bad Piggies,4.5,4.3,0,0
Episode - Choose Your Story,Episode - Choose Your Story,4.5,4.3,0,0
Flow Free,Flow Free,4.5,4.3,0,0
Frozen Free Fall,Frozen Free Fall,4.5,4.3,0,0
Fruit Ninja®,Fruit Ninja®,4.5,4.3,0,0
GMX Mail,GMX Mail,4.5,4.3,0,0
Google Docs,Google Docs,4.5,4.3,0,0
Google Sheets,Google Sheets,4.5,4.3,0,0
MARVEL Contest of Champions,MARVEL Contest of Champions,4.5,4.3,0,0
PAC-MAN Pop,PAC-MAN Pop,4.5,4.3,0,0
Photo Editor-,Photo Editor-,4.5,4.3,0,0
Pineapple Pen,Pineapple Pen,4.5,4.3,0,0
Pou,Pou,4.5,4.3,0,0
Regal Cinemas,Regal Cinemas,4.5,4.3,0,0
Smashy Road: Arena,Smashy Road: Arena,4.5,4.3,0,0
Star Chart,Star Chart,4.5,4.3,0,0
Summoners War,Summoners War,4.5,4.3,0,0
Super Jabber Jump,Super Jabber Jump,4.5,4.3,0,0
Temple Run,Temple Run,4.5,4.3,0,0
Temple Run 2,Temple Run 2,4.5,4.3,0,0
The Sims™ FreePlay,The Sims™ FreePlay,4.5,4.3,0,0
Verizon Cloud,Verizon Cloud,4.5,4.3,0,0
WGT Golf Game by Topgolf,WGT Golf Game by Topgolf,4.5,4.3,0,0
